source_id,topic,source_path,format,role,scope_status,disposition,risk,notes
T01-S01,1,"1. Chuyên Đề 1 - Cấu Tạo Nguyên Tử - Tài Liệu Ôn Thi HSG - Hóa Học 10.OK.docx",docx,primary_candidate,part_i_present,import_part_i,high,"Contains Parts I-V; extract Part I only"
T02-S01,2,"2. Chuyen de 2.Bảng tuần hoàn. Phan Thị Hà.ok.docx",docx,primary_candidate,part_i_present,import_part_i,low,"Contains Parts I-III at minimum; extract Part I only"
T03-S01,3,"3.1.Chuyen de 3.Lien ket hoa hoc.Tong Ngoc Tram Anh.docx",docx,primary_candidate,part_i_present,import_part_i,medium,"Part I-II source"
T03-S02,3,"3.2 Chuyên đề 3 Liên kết hóa học – Cấu tạo phân tử- Lai hóa orbital, thuyết VSEPR - Lâm Thành Thới.docx",docx,out_of_v1,part_iii_v_only,exclude_v1,medium,"Internal title identifies Parts III-V"
T04-S01,4,"4. Chuyen de 4. Phan ung oxi hoa khu.ok.docx",docx,primary_candidate,part_i_present,import_part_i,high,"Contains Parts I-V; extract Part I only"
T05-S01,5,"5. Chuyen de 5. Nang luong cua phan ung hoa hoc.ok.docx",docx,primary_candidate,part_i_present,import_part_i,high,"Contains Parts I-V; extract Part I only"
T06-S01,6,"6. Chuyen de 6. Dong hoa hoc.ok.docx",docx,primary_candidate,part_i_present,pilot_import,high,"Contains Parts I-V; canonical Word candidate"
T06-S02,6,"6. Dong hoa hoc - ly thuyet.html",html,derived_pilot,derived_part_i,pilot_reference,low,"Use as fidelity baseline; not canonical until owner confirms provenance"
T07-S01,7,"7. 1. Chuyen de 7. Nhom halogen.ok.docx",docx,primary_candidate,part_i_present,import_part_i,high,"Part I-II source"
T07-S02,7,"7.2 Chuyên đề 7 Nguyên tố nhóm VIIA – Halogen- Phần III, IV và V- Nguyen Thinh.docx",docx,out_of_v1,part_iii_v_only,exclude_v1,medium,"Parts III-V only"
T08-S01,8,"8.1. Chuyen de 8-  Dung dich can bang hoa hoc- phan I & II OK (1).docx",docx,primary_candidate,part_i_present,pilot_import,high,"Part I-II source; canonical Word candidate"
T08-S02,8,"8.1. Chuyen de 8 - Dung dich, Can bang hoa hoc - Ly thuyet (Phan I).html",html,derived_pilot,derived_part_i,pilot_reference,low,"Use as fidelity baseline; contains embedded data images"
T08-S03,8,"8.2. chuyen de 8.dung dich - can bang hoa hoc . Lê Hữu Trí - OK.docx",docx,out_of_v1,part_iii_v_only,exclude_v1,medium,"Parts III-V only"
T09-S01,9,"9.1. Chủ đề 9.1 Nitrogen và hợp chất.docx",docx,primary_candidate,part_i_present,compare,high,"Nitrogen source; Parts I-V; compare with T09-S02"
T09-S02,9,"9.2_Chuyen de 9_ Nitrogen và hợp chất_ Lê Thị Xuân Hương.docx",docx,alternate_candidate,part_i_present,compare,medium,"Alternative Nitrogen source; Parts I-V"
T09-S03,9,"9.3. CHUYÊN ĐỀ 9 SULFUR VÀ HỢP CHẤT - PHẦN I VÀ II.docx",docx,primary_candidate,part_i_present,import_part_i,medium,"Sulfur subtopic; decide lesson split under Topic 9"
T10-S01,10,"10.1.Chuyen de 10.Dai cuong hoa hoc huu co.Tran Thanh Hien.OK.docx",docx,primary_candidate,part_i_present,import_part_i,medium,"Contains Parts I-V; extract Part I only"
T10-S02,10,"10.2.Chuyen de 10.Dai cuong ve hoa huu co.Nguyen Minh Trang.ok.docx",docx,out_of_v1,part_iii_v_only,exclude_v1,medium,"Internal content begins at Part III"
T11-S01,11,"11.1. CHUYEN DE HYDROCARBON_PHAN I, II.OK.docx",docx,primary_candidate,part_i_present,import_part_i,high,"Part I-II source"
T11-S02,11,"11.2.Chuyen de 11.hydrocarbon. Nguyen Thi Hong.ok.docx",docx,out_of_v1,part_iii_v_only,exclude_v1,low,"Parts III-V only"
T12-S01,12,"12.1.DẪN XUẤT HALOGEN-ALCOHOL-PHENOL-TRỊNH VINH.doc",doc,legacy_primary_candidate,unknown_structure,convert_and_review,legacy,"Only plausible primary source; inspect after legacy conversion"
T12-S02,12,"12.2. Chuyên đề 12.Dẫn xuất halogen, alcohol , phenol , ether.Phần III, IV và V.docx",docx,out_of_v1,part_iii_v_only,exclude_v1,low,"Parts III-V only"
T13-S01,13,"13.1 .  Chuyên đề 13-Hợp chất carbonyl -carboxylic acid. LT PHƯỢNG da ktra. Ok.docx",docx,primary_candidate,part_i_present,import_part_i,medium,"Contains Parts I-IV at minimum; extract Part I only"
T13-S02,13,"13.2.chuyen de 13.Hop chat carbonyl-carboxylic acid- Phan III,IV,V. Dao Huy Thang- da ktra.docx",docx,out_of_v1,part_iii_v_only,archive_superseded,medium,"Near-version of T13-S03; not byte-identical"
T13-S03,13,"13.2.chuyen de 13.Hop chat carbonyl-carboxylic acid- Phan III,IV,V. Dao Huy Thang- da ktra. Ok.docx",docx,out_of_v1,part_iii_v_only,exclude_v1,medium,"Provisional preferred archival Part III-V version"
T14-S01,14,"14.1. CĐ1 ESTER-LIPID - PHẦN I, II đã sửa. Ok.docx",docx,primary_candidate,part_i_present,import_part_i,high,"Contains Parts I-V; extract Part I only"
T14-S02,14,"14.2. Ester Lipid hsg nhóm DTT.đã kiểm tra . Ok.docx",docx,out_of_v1,part_iii_v_only,exclude_v1,medium,"Parts III-V only"
T15-S01,15,"15.1. CACBOHIDRATE- Phần II đã ktra. Ok.docx",docx,primary_candidate,part_i_present,compare,low,"Internal headings include Parts I-II despite filename; compare with T15-S02"
T15-S02,15,"15.2 CHUYÊN ĐỀ 15 CACBOHIDRATE.KieuThiHai.docx",docx,alternate_candidate,part_i_present,compare,low,"Parts I-II; canonical choice unresolved"
T15-S03,15,"15.2. Carbohydrate.SỬA. Ok.docx",docx,out_of_v1,part_iii_v_only,exclude_v1,low,"Parts III-V only"
T16-S01,16,"16.1.Chuyen de 16.Hop chat chua nitrogen-hop chat di vong.Phan I.II.Pham Cong Nhan. Ok.docx",docx,primary_candidate,part_i_present,import_part_i,low,"Part I-II source"
T16-S02,16,"16.2. ok. Chuyen de 16. Hop chat chua nitrogen, hop chat di vong. Huynh To Bao Duy. Ok.docx",docx,out_of_v1,part_iii_v_only,exclude_v1,medium,"Parts III-V only"
T17-S01,17,"17.1 - chuyen de polymer phan I + II - Nguyen Thi Yen Linh. Ok.docx",docx,primary_candidate,part_i_present,import_part_i,low,"Part I-II source"
T17-S02,17,"17.2. OK-Chuyên đề 17. Polymer - Phần III, IV và V- Lê Thị Dung. Ok.docx",docx,out_of_v1,part_iii_v_only,exclude_v1,medium,"Filename identifies Parts III-V; template also contains Part headings"
T18-S01,18,"18.1. Chuyên đề 18.1 .Pin điện hóa - điện phân ok.docx",docx,primary_candidate,theory_without_part_markers,manual_boundary_review,high,"Theory-oriented content; no standard Part I marker detected"
T18-S02,18,"18.2.Chuyen de 18-Pin dien va dien phan.Mai Van Phuc.OK.ok.docx",docx,alternate_candidate,ambiguous_template,manual_scope_review,high,"Template lists Parts I-V but visible body begins with Part III exercises"
T19-S01,19,"19.1.Chuyen de 19.DAI CUONG KIM LOAI.Dang Trung.OK.docx",docx,primary_candidate,part_i_present,import_part_i,low,"Contains Parts I-V; extract Part I only"
T19-S02,19,"19.2.Chuyen de 19.DAI CUONG KIM LOAI,III, IV.Dang Trung.docx",docx,out_of_v1,part_iii_v_only,exclude_v1,low,"Parts III-V only"
T19-S03,19,"19.2.Chuyên đề 19. Đại cương về kim loại - Phần  V. Pham Thi Lan.docx",docx,out_of_v1,part_v_only,exclude_v1,low,"Part V only"
T20-S01,20,"20.1.Chuyen de 20. Kim loai nhom IA, IIA. Nguyen Thi Ket Lan.OK.docx",docx,primary_candidate,part_i_present,compare,low,"Part I-II source; compare with T20-S02"
T20-S02,20,"20.2.Chuyen de 20.Kim loai nhom IA, IIA. Trinh Bao Ngoc.OK.docx",docx,alternate_candidate,part_i_present,compare,low,"Contains Parts I-V; may supplement or replace T20-S01"
T21-S01,21,"21.1.Chuyen de 21. So luoc ve day kim loai chuyen tiep thu nhat. Huynh Chi Canh.ok.docx",docx,primary_candidate,part_i_present,import_part_i,high,"Contains Parts I-V; extract Part I only"
T21-S02,21,"21.2- chuyen de 21.2. So luoc ve day KL chuyen tiep -Phan III, IV và V. Nguyen Viet Nam.ok.docx",docx,out_of_v1,part_iii_v_only,exclude_v1,low,"Parts III-V only"
T22-S01,22,"22.1. CHUYÊN ĐỀ 22-PHỨC CHẤT( PHẦN I-II).docx",docx,primary_candidate,part_i_present,import_part_i,medium,"Filename identifies Parts I-II; later Part III also present"
T22-S02,22,"22.2 Chuyên đề 22_phức chất (phần III, IV, V)_Quốc Tuấn.OK.docx",docx,out_of_v1,part_iii_v_only,exclude_v1,medium,"Parts III-V only"
T23-S01,23,"23. Chuyên đề 23 -Thực hành thí nghiệm 11.docx",docx,primary_candidate,unknown_structure,manual_scope_review,medium,"No standard Part boundary detected; Grade 11 experiments"
T23-S02,23,"23.2. CHUYÊN ĐỀ 23.2. THÍ NGHIỆM 10.docx",docx,supplement_candidate,unknown_structure,manual_scope_review,low,"No standard Part boundary detected; Grade 10 experiments"
T23-S03,23,"23.3.CHUYÊN ĐỀ 23.3 TỔNG HỢP CÁC THÍ NGHIỆM CỦA SGK+ SCĐ HÓA HỌC 12.docx",docx,supplement_candidate,unknown_structure,manual_scope_review,low,"No standard Part boundary detected; Grade 12 experiments"
T24-S01,24,"24. Chuyen de 24_ Phan bon hoa hoc_OK.docx",docx,primary_candidate,part_i_present,import_part_i,low,"Contains Parts I-V; extract Part I only"
T25-S01,25,"25. DAU MO VA KHAI THAC DAU MO.OK.docx",docx,primary_candidate,part_i_present,import_part_i,medium,"Contains Parts I-II at minimum; extract Part I only"
T26-S01,26,"26. CHUYÊN ĐỀ 26. CHUYEN DE PHO IR & MS.DTT. DƯƠNG QUANG THÀNH.doc",doc,legacy_primary_candidate,unknown_structure,convert_and_review,legacy,"Only Topic 26 source; large legacy DOC"
